assistancetype	region	gender resp	Head_Household	age	HH women	HH girls	HH men	HH boys	HH children	HH total	marital	residency	period	region_origin	disp_times	hosting	hosting_persons	housing	rental_fees	transport	educ	income	incomecontributers	income_source	disabled	disabled_HH	medical_access	referred_by_SI	sickperson	Malnurished_children	CFVA	MPCA	Livestock restoration	Greenhouses	irrigation	training	meals_adults	meals_children	cereals_HDDS	orangeveg_HDDS	rootstuber_HDDS	greenveg_HDDS	otherveg_HDDS	fruits1_HDDS	fruits2_HDDS	meet_HDDS	eggs_HDDS	fishandseafood_HDDS	legume_HDDS	milky_HDDS	fat_HDDS	sweets_HDDS	other_HDDS	MAHFP january	MAHFP february	MAHFP march	MAHFP april	MAHFP may	MAHFP june	MAHFP july	MAHFP august	MAHFP september	MAHFP october	MAHFP november	MAHFP december	freq worryfood	land	training good modern agricultural practices	training Irrigation	training Use of agricultural inputs	training Fertilizer application	training Soil conservation	training Greenhouses	training Flood/drought damage and preparedness	training Basic Accounting	receive_equip	receive_irrig	irrigated_land	receive_seeds	harvest_lastyear	fertilizer Natural fertilizer	fertilizer Pesticide	production	crops Millet	crops Corn (maize)	crops Wheat	crops Barley	crops Sorghum	crops Myriad vegetables	crops Other:	water_source Spring	water_source Network	water_source Borehole	water_source Stored water from reservoir or pond	water_source Wastewater of kitchen	water_source No water source	water_source Other	Goat	Sheep	Camel	Cow	goat_lost	sheep_lost	camel_lost	cow_lost	feeding Sending to public pasture land	feeding Sending to own pasture land	feeding Collecting fodder from own land	feeding Collecting fodder from natural pasture land	feeding Purchasing	feeding Other	fodder Alfalfa	fodder Clover	fodder Hay	fodder Leaves	fodder Straw	fodder Maize	fodder Concentrate	fodder Grasses	fodder Other	sickness Vaccine animals	sickness Referring to animal health center	sickness No action	sickness Other	livelihood_source	livelihood_income	husband_train	sell_prod_marlet	distance_market	product_transport	market_chall Poor roads	market_chall Insecurity	market_chall Transportation costs	market_chall Distance to the markets	market_chall Not enough goods	MPCA_per_month	MPCA_month	CFF_per_month	CFF_month	MPCA_use food	MPCA_use debt	MPCA_use clothe	MPCA_use med	MPCA_use water	MPCA_use fuel	MPCA_use cookgaz	MPCA_use school	MPCA_use business	MPCA_use buylivestock	MPCA_use agrinputs	MPCA_use savings	MPCA_use transport	MPCA_use rent	MPCA_use giftloan	has_savings	debts_purpose Food	debts_purpose Health	debts_purpose Shelter	debts_purpose Funeral	debts_purpose Wedding	debts_purpose Other	debt_level	creditors Family	creditors Friend	creditors Landlord	creditors Bank	creditors Shopkeeper	creditors Other	women_received_cash	included_selection	emp	business Agricultural/farming	business Livestock keeping	business Small shop/kiosk	business Tea shop/cafeteria/hotel	business Miraa seller	business Other	learned_new_skills	plan_look_job	plan_open_bussiness	sessions IYCF	sessions cooking	session water	session other	part_mother_group	child_below2	distance_nut	time_facility	watersource	distance_water	time_water	wells_available	pay_water	treatment Chlorination	treatment Boiling water	treatment Aqua tabs	treatment None	cleaning_freq	cleaning_how	water_transmit_disease	family_skin_pb	diarrhea_cause dirtyhand	diarrhea_cause contamwat	diarrhea_cause noCl	diarrhea_cause toomuchCl	diarrhea_cause contmfood	diarrhea_cause temperature	diarrhea_cause opendefecc	diarrhea_cause unknown	diarrhea_cause other	diarrhea_prevention safewater	diarrhea_prevention washinghands	diarrhea_prevention washinghandsSoap	diarrhea_prevention coveringfood	diarrhea_prevention cleantLat	diarrhea_prevention vaccin	diarrhea_prevention goodHygiene	diarrhea_prevention unknown	diarrhea_prevention other	diarrhea_remedies drugs	diarrhea_remedies HC	diarrhea_remedies ORS	diarrhea_remedies drinkwater	diarrhea_remedies tradmed	diarrhea_remedies nothing	diarrhea_remedies other	toilet	handwash_area	soap_avail	women_men_separated	receive_soap_SI	received_sensitization	attended_mygiene_prom	receive_cholerakits	handwash_times mealPrep	handwash_times servFood	handwash_times eating	handwash_times feedBaby	handwash_times cleanbaby	handwash_times afterToil	handwash_times Garbage	handwash_times Play	handwash_reason	handwash_item	use_latrine	receive_NFI	nonpurchase_reason Because I don’t have enough money (expensive)	nonpurchase_reason I don’t need it	nonpurchase_reason The market is too far	nonpurchase_reason I don’t feel secure enough to go to the market because of the security situation	nonpurchase_reason I cannot move due to my physical condition (persons with disabilities or elder people)	nonpurchase_reason Other	livingcond_adeq	main_need	second_need	third_need	streetlights	member_camp_committee	able_give_feedback_auth	receive_information_disaster	village	tribe	district	benficiarytype	gender HHH	cattle	cattle_lost	MPCA_total	CFF_total	HDDS	FCS	MAHFP	CSI	HHS	educ HHH	income_per_member
EFA	Marib	Female	Yes	35	2	0	1	2	0	5	Married	IDP	Over 2 years	Al Jawf	Only one movement from the place of origin and now	Yes	5	I am living in an unfinished building	No	Vehicles	Primary	40	0	Aid	Yes	Yes	Yes	No	No	No	No	Yes	No	No	No	No	3	3	Yes	No	No	No	No	No	No	Yes	No	No	No	Yes	Yes	Yes	Yes	0	0	0	0	0	0	0	0	0	0	0	0	Rarely (once or twice in the past four weeks)	0.0	No	No	No	No	No	No	No	No	No	No	0.0	No	No	0	0	Other	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Other	40	No	No	3.0	Car	0	0	1	0	0	147	3	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	No	1	0	0	0	0	0	40	0	0	0	0	1	0	Yes	Yes	Unemployed	0	0	0	0	0	0	No	Yes	No	No	No	No	No	No	No	4.0	50	Piped water into dwelling	1.0	12	1	0.001	0	0	0	1	Every 2-3 days	With soap/detergent	Yes	No	1	1	0	0	1	1	0	0	0	1	0	1	1	1	1	1	0	0	0	1	0	0	1	0	0	Family latrine	Yes	Yes	No	No	No	No	No	1	1	1	0	0	1	1	0	To reduces spread/ transmission of disease	With water and soap	Yes	No	0	0	0	0	0	0	Yes	Livelihood activities	Health facilities	Child-Friendly Spaces	No	No	No	Yes	Wahsahan	Al Rashid Monif	Alwadi	Emergency cash assistance beneficiary	Female	0	0	441	0	6	Acceptable	12	1	3	1.0	6.666666666666667
FSL	Taiz	Male	Yes	52	4	2	4	1	1	12	Married	Host Community	0	0	0	No	0	I am living in an unfinished building	No	Vehicles	University or higher education	80	0	Formal employment	No	Yes	Yes	No	No	Yes	No	Yes	No	No	No	No	3	3	Yes	Yes	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	0	0	0	0	0	0	1	1	0	0	0	0	Never	1.0	No	No	No	No	No	Yes	No	No	Yes	No	0.0	Yes	Yes	1	1	Handpumps	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	Other	80	No	No	2.0	Donkey cart	0	0	1	0	0	141	12	0	0	1	1	1	1	0	0	1	1	0	0	1	0	1	0	0	No	0	0	0	0	0	1	1050	0	1	0	0	0	0	Yes	Yes	Employed	0	0	0	0	0	0	No	0	No	No	No	No	No	No	No	2.0	20	Piped water into dwelling	3.0	30	1	0.001	1	0	0	0	Monthly	With brush only	Yes	No	1	1	0	1	1	1	1	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	1	0	0	Family latrine	No	0	No	Yes	No	Yes	No	1	1	1	0	0	1	1	1	To be healthy	Water alone	Yes	Yes	1	0	0	0	0	0	Yes	Water points	Health facilities	Child-Friendly Spaces	No	No	Yes	No	Atab bani Abass	Bani Abass	Al-Ma’afer	FSL Beneficiary	Male	4	0	1692	0	5	Poor	10	32	3	4.0	6.153846153846154
EFA	Lahj	Male	Yes	38	1	3	1	2	1	8	Married	Returnee	0	0	0	No	0	I am living in an unfinished building	No	No means of transport	Secondary	80	0	Formal employment	Yes	Yes	Yes	No	Yes	Yes	No	No	No	No	No	No	2	2	Yes	No	No	No	Yes	No	No	No	No	Yes	Yes	No	Yes	Yes	Yes	0	0	0	0	0	0	0	1	1	0	0	0	Rarely (once or twice in the past four weeks)	0.0	No	No	No	No	No	No	No	No	No	No	0.0	No	No	0	0	Other	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Other	25	No	No	1.0	Other	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	1	1	0	0	0	0	200	0	1	0	0	1	0	Yes	No	Employed	0	0	0	0	0	0	No	0	Yes	No	No	No	No	No	No	1.0	15	Piped water into dwelling	2.0	20	1	0.001	0	0	0	1	Every 2-3 days	With soap/detergent	Yes	No	1	1	1	1	1	1	1	0	0	1	0	1	1	1	0	1	0	1	0	1	0	0	0	0	0	Family latrine	No	0	No	Yes	Yes	No	No	1	1	1	1	1	1	1	1	To be healthy	With water and soap	Yes	Yes	1	0	0	0	0	0	No	Livelihood activities	Water points	Schools	No	No	No	No	Al Khadad	Hawashib	Tuban	Emergency cash assistance beneficiary	Male	0	0	0	0	7	Borderline	10	21	3	2.0	8.88888888888889
EFA	Lahj	Male	Yes	30	1	1	0	0	1	3	Married	IDP	Over 2 years	Lahj	Only one movement from the place of origin and now	No	0	I am living in a concrete house/finished building	Yes	No means of transport	University or higher education	90	2	Aid	No	No	Yes	No	No	No	Yes	No	No	No	No	No	2	3	Yes	No	Yes	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	0	0	0	0	1	1	0	0	0	0	0	0	Rarely (once or twice in the past four weeks)	0.0	No	No	No	No	No	No	No	No	No	No	0.0	No	No	0	0	Other	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Other	90	No	No	2.0	Other	0	0	1	0	0	71	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	No	1	0	0	0	0	0	150	1	0	1	0	0	0	No	Yes	Self-employed	0	0	0	0	0	1	No	No	No	No	No	No	No	No	Yes	1.0	10	Tube well/borehole	1.0	10	1	0.001	0	0	0	1	Daily	Other	Yes	Yes	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	Family latrine	No	0	No	Yes	No	No	No	0	0	1	0	0	0	0	0	To be clean	Water alone	Yes	Yes	1	0	0	0	0	0	Yes	Livelihood activities	Water points	Solar streetlight	No	No	No	No	Al Khadad	Lahj	Tuban	Emergency cash assistance beneficiary	Male	0	0	213	0	6	Acceptable	10	47	3	4.0	22.5
MPCA	Marib	Male	Yes	37	3	0	0	5	2	10	Married	IDP	Over 2 years	Sana'a	Two or more movement from the place of origin and now	Yes	4	I am hosted in a family with charge	Yes	No means of transport	Secondary	75	0	Casual employment	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	No	No	3	4	Yes	No	No	No	Yes	No	No	No	No	No	Yes	No	Yes	Yes	Yes	1	0	0	1	1	0	0	0	0	0	0	0	Often (more than ten times in the past four weeks)	0.0	No	No	No	No	No	No	No	No	No	No	0.0	No	No	0	0	Other	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Other	40	No	No	6.0	Other	0	0	1	0	1	0	0	147	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	1	1	1	0	0	0	1050	1	1	1	0	1	0	No	No	Self-employed	1	0	0	0	0	0	No	Yes	Yes	No	No	No	No	No	No	10.0	100	Piped water into dwelling	14.0	120	2	0.001	0	0	0	1	Weekly	With brush only	Yes	No	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	Family latrine	No	0	No	No	No	No	No	0	0	1	0	0	0	1	0	To be healthy	With water and soap	Yes	No	0	0	0	0	0	0	No	Solar streetlight	Livelihood activities	Health facilities	No	No	Yes	Yes	Almekrab	Khowlan	Alwadi almekrab	Emergency cash assistance beneficiary	Male	0	0	0	441	6	Borderline	9	37	6	2.0	6.818181818181818
FSL	Taiz	Male	No	18	3	0	5	1	1	10	Married	Host Community	0	0	0	No	0	I am living in a concrete house/finished building	No	Vehicles	Primary	70	8	Casual employment	No	Yes	No	No	Yes	No	No	Yes	No	Yes	Yes	No	3	3	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	0	0	0	0	0	0	0	0	1	0	0	0	Sometimes (three to ten times in the past four weeks)	7.0	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0021	Yes	Yes	1	0	Handpumps	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	Farming	70	No	Yes	2.0	Car	0	0	0	1	0	220	4	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	No	0	1	0	0	0	0	390	0	1	0	0	0	0	Yes	Yes	Self-employed	1	1	0	0	0	0	Yes	No	Yes	No	No	No	No	No	Yes	3.0	30	Piped water into dwelling	2.0	20	4	0.0001	0	1	0	0	Monthly	With soap/detergent	Yes	No	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	Family latrine	Yes	Yes	Yes	Yes	Yes	No	No	1	0	0	0	0	0	0	0	To be healthy	With water and soap	Yes	Yes	1	0	0	0	0	0	Yes	Health facilities	Water points	Livelihood activities	No	No	No	No	Alshaban	Bani Saror	Al-Ma’afer	FSL Beneficiary	Male	7	0	880	0	4	Acceptable	11	21	0	4.0	6.363636363636363
EFA	Taiz	Male	Yes	18	1	1	1	4	1	8	Single	Host Community	0	0	0	Yes	8	I am living in a concrete house/finished building	No	Vehicles	Primary	20	0	Livestock	No	No	No	No	Yes	Yes	No	No	No	No	No	No	2	2	Yes	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	0	0	1	0	0	0	0	0	0	0	0	0	Often (more than ten times in the past four weeks)	0.0	No	No	No	No	No	No	No	No	No	No	0.0	No	No	0	0	Other	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	Livestock keeping	100	No	No	30.0	Car	1	0	0	0	1	60	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No	1	0	0	0	0	0	500	0	0	0	0	1	0	No	Yes	Self-employed	0	1	0	0	0	0	No	Yes	Yes	No	No	No	No	No	No	0.3	3	Tube well/borehole	15.0	90	2	0.0001	0	0	0	1	Every 2-3 days	Other	Yes	No	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	Family latrine	No	0	No	No	No	No	No	1	0	1	0	0	0	0	0	To be clean	Water alone	Yes	No	0	0	0	0	0	0	Yes	Water points	Livelihood activities	Roads	No	No	No	No	Alhaimah	Alahyouq	Al Wazi'iyah	Emergency cash assistance beneficiary	Male	3	0	240	0	5	Poor	11	72	3	1.0	2.2222222222222223
MPCA	Marib	Female	Yes	65	7	1	5	7	1	21	Married	Host Community	0	0	0	No	0	I am living in an unfinished building	No	Vehicles	No education	150	0	Remittance	No	No	No	No	No	No	Yes	Yes	No	No	No	No	2	2	Yes	No	No	No	No	No	No	Yes	No	No	Yes	No	Yes	Yes	Yes	0	0	0	0	1	0	0	0	0	0	0	0	Often (more than ten times in the past four weeks)	0.0	No	No	No	No	No	No	No	No	No	No	0.0	No	No	0	0	Other	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	Livestock keeping	100	No	No	30.0	Car	1	0	0	1	0	130	3	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	No	1	1	0	0	0	0	350	1	1	0	0	0	0	Yes	Yes	Unemployed	0	0	0	0	0	0	No	No	No	No	No	No	No	No	Yes	1.0	15	Piped water into dwelling	1.5	20	1	0.0001	0	0	0	1	Never	0	Yes	Yes	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	Family latrine	No	0	No	No	No	No	No	1	0	0	0	0	0	0	0	To be healthy	Water alone	Yes	No	0	0	0	0	0	0	Yes	Livelihood activities	Child-Friendly Spaces	Roads	No	No	No	No	Alramsah	Alrashed Mounif	Marib	Emergency cash assistance beneficiary	Female	5	0	390	0	6	Borderline	11	26	1	0.0	6.818181818181818
MPCA	Marib	Male	Yes	22	5	8	3	7	4	27	Married	IDP	1-2 years	Ma'rib	Two or more movement from the place of origin and now	No	0	I am living in an unfinished building	No	Vehicles	Primary	30	1	Casual employment	No	No	Yes	No	No	No	Yes	Yes	No	No	No	No	3	3	Yes	No	No	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	0	0	0	0	0	0	0	1	0	0	0	0	Often (more than ten times in the past four weeks)	0.0	No	No	No	No	No	No	No	No	No	No	0.0	No	No	0	1	Tractor	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	Livestock keeping	50	No	No	5.0	Car	1	0	0	0	1	120	4	50	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	No	0	0	0	0	0	1	4000	0	1	0	0	0	0	Yes	Yes	Self-employed	1	0	0	0	0	0	No	Yes	Yes	No	No	No	No	No	Yes	5.0	60	Tube well/borehole	10.0	2	3	0.0001	0	0	0	1	Daily	Other	Yes	No	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	Family latrine	No	0	No	Yes	Yes	No	No	0	0	1	0	0	0	0	0	To be healthy	With water and soap	Yes	Yes	1	0	0	0	0	0	No	Schools	Community centers	Roads	Yes	No	No	No	Al Rashed Mounif	Mourad	Alghawiah	Emergency cash assistance beneficiary	Male	2	0	480	50	4	Borderline	11	40	2	1.0	1.0714285714285714
FSL	Taiz	Male	No	18	1	1	1	2	1	6	Single	Host Community	0	0	0	No	0	I am living in a concrete house/finished building	Yes	Vehicles	Secondary	100	0	Land cultivation	No	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	2	2	Yes	Yes	Yes	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	0	0	0	0	0	0	0	0	0	0	0	0	Never	0.02	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.013000000000000001	Yes	Yes	1	0	Water pump	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Farming	30	Yes	No	20.0	Car	1	0	0	0	1	60	16	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	No	1	1	0	0	0	0	400	1	0	0	0	0	0	Yes	Yes	Self-employed	1	0	0	0	0	0	Yes	Yes	Yes	Yes	No	No	No	No	No	0.5	20	Piped water into dwelling	1.0	30	1	0.025	0	1	0	0	Monthly	With soap/detergent	Yes	No	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	Communal latrine	Yes	Yes	No	Yes	Yes	Yes	No	0	1	0	0	0	0	0	0	To be healthy	With water and soap	Yes	Yes	0	1	0	0	0	0	Yes	Health facilities	Roads	Schools	No	No	Yes	No	Alwadi	Bani Shaibah	Al-Shamayateen	FSL Beneficiary	Male	0	0	960	0	6	Borderline	12	20	0	2.0	14.285714285714286
FSL	Taiz	Female	No	50	4	0	1	1	4	10	Married	IDP	Over 2 years	Taiz	Only one movement from the place of origin and now	No	0	I am hosted in a family with charge	Yes	No means of transport	No education	30	3	Casual employment	No	No	No	No	Yes	No	No	No	No	No	No	No	2	2	Yes	No	No	No	No	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	0	0	1	0	0	0	0	0	0	0	0	0	Sometimes (three to ten times in the past four weeks)	0.0	No	No	No	No	No	No	No	No	No	No	0.0	No	No	0	0	Other	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Other	50	No	No	15.0	Car	0	0	0	0	1	120	3	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	No	1	0	0	0	0	0	50	0	1	0	0	0	0	Yes	Yes	Unemployed	0	0	0	0	0	0	No	No	No	No	No	No	No	No	No	15.0	30	Other	10.0	30	2	0.0001	0	0	1	0	Weekly	With bleach/disinfectant	Yes	No	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	Family latrine	No	0	No	No	No	No	Yes	1	0	0	0	0	0	0	0	To be healthy	With water and soap	Yes	Yes	1	0	0	0	0	0	No	Health facilities	Schools	Water points	No	No	Yes	No	Bani Abas	Bani Abass	Al-Ma’afer	FSL Beneficiary	Male	0	0	360	0	6	Poor	11	43	3	1.0	2.727272727272727
FSL	Taiz	Male	Yes	50	3	0	4	0	0	7	Married	Host Community	0	0	0	No	0	I am living in a concrete house/finished building	No	Vehicles	No education	0	1	Aid	No	No	Yes	No	No	No	No	No	No	Yes	Yes	Yes	3	3	Yes	No	No	No	No	Yes	Yes	No	No	No	No	Yes	Yes	Yes	Yes	0	0	0	0	0	0	0	0	0	0	0	0	Never	0.003	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	0.0021	Yes	Yes	1	0	Water pump	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	Livestock keeping	1	No	No	10.0	Car	0	0	1	1	0	71	14	0	0	1	1	1	0	0	0	1	1	0	0	0	0	1	0	0	No	0	0	0	0	0	1	7	0	1	0	0	0	0	Yes	Yes	Self-employed	1	0	0	0	0	0	Yes	No	Yes	No	No	No	No	No	No	1.0	30	Piped water into dwelling	0.5	15	5	1.0	0	0	0	1	Monthly	Other	Yes	No	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	Family latrine	Yes	Yes	No	No	Yes	Yes	No	0	0	1	0	0	1	0	0	To reduces spread/ transmission of disease	Water alone	Yes	Yes	0	1	0	0	0	0	Yes	Health facilities	Livelihood activities	Roads	No	No	No	No	Aljayar	Aljayar Dobhan	Al-Shamayateen	FSL Beneficiary	Male	2	0	994	0	6	Acceptable	12	0	0	0.0	0.0
MPCA	Marib	Male	Yes	26	3	1	1	0	2	7	Married	IDP	Over 2 years	Dhamar	Only one movement from the place of origin and now	No	0	I am living in a concrete house/finished building	Yes	Vehicles	University or higher education	80	0	Formal employment	No	No	Yes	No	No	No	No	No	No	No	No	No	3	4	Yes	No	No	Yes	No	No	No	No	No	No	Yes	Yes	No	No	Yes	0	0	0	1	0	0	0	0	0	0	0	0	Often (more than ten times in the past four weeks)	0.0	No	No	No	No	No	No	No	No	No	No	0.0	No	No	0	0	Other	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Other	80	No	No	1.0	Other	0	1	0	0	0	141	3	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	No	1	0	0	0	1	0	1000	0	1	0	0	1	0	Yes	No	Employed	0	0	0	0	0	0	No	0	No	No	No	No	No	No	Yes	1.0	30	Piped water into dwelling	0.5	10	2	1.0	0	0	0	1	Never	0	Yes	No	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	Family latrine	No	0	No	No	Yes	Yes	No	0	0	1	0	0	1	0	0	To reduces spread/ transmission of disease	Water alone	Yes	Yes	1	0	0	0	0	0	Yes	Livelihood activities	Roads	Child-Friendly Spaces	Yes	No	Yes	Yes	Alhoson	Bani Bahr	Alwadi	Emergency cash assistance beneficiary	Male	0	0	423	0	5	Acceptable	11	2	0	4.0	10.0
MPCA	Marib	Male	Yes	27	6	1	9	2	0	18	Married	IDP	Over 2 years	Ma'rib	Only one movement from the place of origin and now	No	0	I am living in a concrete house/finished building	No	No means of transport	Secondary	100	4	Casual employment	No	No	Yes	No	Yes	No	No	Yes	No	No	No	No	3	3	Yes	Yes	Yes	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0	0	0	0	0	1	0	0	0	0	0	0	Never	0.0	No	No	No	No	No	No	No	No	No	No	0.0	No	No	0	0	Other	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Other	100	No	No	6.0	Car	0	0	1	0	0	147	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	No	0	1	0	0	0	0	1000	1	1	0	0	0	0	No	No	Self-employed	0	0	0	0	0	1	No	No	No	No	No	No	No	Yes	No	2.0	20	Tube well/borehole	2.0	20	5	0.001	1	0	0	0	Weekly	With soap/detergent	Yes	No	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Family latrine	Yes	Yes	No	No	Yes	No	No	1	0	0	0	0	1	0	0	To be clean	With water and soap	Yes	No	0	0	0	0	0	0	No	Livelihood activities	Water points	Solar streetlight	No	No	Yes	No	Albaj'ah	Al Jmum'an	Alwadi	Emergency cash assistance beneficiary	Male	0	0	588	0	11	Acceptable	11	6	1	2.0	5.2631578947368425
FSL	Taiz	Female	Yes	43	2	3	2	1	1	9	Married	Host Community	0	0	0	Yes	2	I am living in a concrete house/finished building	No	Vehicles	Primary	30	0	Casual employment	No	No	Yes	No	No	No	Yes	Yes	Yes	No	No	No	3	3	Yes	No	Yes	Yes	Yes	No	No	No	No	No	No	No	Yes	Yes	Yes	0	0	0	0	0	0	0	0	0	0	0	0	Never	0.0133	No	No	No	No	No	No	No	No	No	No	0.0	No	No	0	0	Handpumps	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	Livestock keeping	30	Yes	No	20.0	Car	1	0	0	0	0	60	14	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	No	1	1	0	0	0	0	130	0	0	0	0	1	0	Yes	Yes	Self-employed	0	1	0	0	0	0	Yes	No	No	Yes	Yes	No	No	No	Yes	0.8	10	Piped water into dwelling	1.0	15	2	0.003	0	0	0	1	Monthly	With soap/detergent	Yes	No	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	Family latrine	Yes	Yes	No	Yes	No	No	No	0	0	0	0	0	1	0	0	To be healthy	With water and soap	Yes	Yes	1	0	0	0	0	0	No	Water points	Health facilities	Livelihood activities	No	No	No	No	Dashah	Dabhan	Al-Shamayateen	FSL Beneficiary	Female	5	0	840	0	6	Borderline	12	14	0	1.0	3.0
